reading:../../blast/eco_K12_W3110.prot.fa  cutoff:1e-08
JW1040-MONOMER	408
JW1052-MONOMER	402
JW1057-MONOMER	138
JW1087-MONOMER	477
JW1088-MONOMER	729
JW1104-MONOMER	414
JW1109-MONOMER	348
JW1110-MONOMER	264
JW1111-MONOMER	275
JW1112-MONOMER	378
JW1175-MONOMER	513
JW1207-MONOMER	366
JW1214-MONOMER	463
JW1235-MONOMER	543
JW1236-MONOMER	306
JW1237-MONOMER	302
JW1238-MONOMER	337
JW1239-MONOMER	334
JW1242-MONOMER	417
JW1283-MONOMER	268
JW1284-MONOMER	330
JW1285-MONOMER	296
JW1286-MONOMER	321
JW1287-MONOMER	547
JW1289-MONOMER	461
JW1303-MONOMER	430
JW1304-MONOMER	293
JW1305-MONOMER	280
JW1311-MONOMER	322
JW1322-MONOMER	537
JW1336-MONOMER	327
JW1358-MONOMER	485
JW1425-MONOMER	330
JW1435-MONOMER	381
JW1436-MONOMER	337
JW1437-MONOMER	313
JW1438-MONOMER	264
JW1446-MONOMER	700
JW1464-MONOMER	462
JW1469-MONOMER	274
JW1478-MONOMER	308
JW1479-MONOMER	328
JW1480-MONOMER	298
JW1481-MONOMER	340
JW1487-MONOMER	511
JW1506-MONOMER	511
JW1507-MONOMER	342
JW1508-MONOMER	330
JW1509-MONOMER	340
JW1521-MONOMER	396
JW1522-MONOMER	221
JW1527-MONOMER	395
JW1536-MONOMER	427
JW1588-MONOMER	417
JW1591-MONOMER	109
JW1592-MONOMER	121
JW1597-MONOMER	460
JW1608-MONOMER	457
JW1613-MONOMER	530
JW1626-MONOMER	500
JW1649-MONOMER	389
JW1652-MONOMER	403
JW1655-MONOMER	457
JW1680-MONOMER	404
JW1699-MONOMER	249
JW1701-MONOMER	326
JW1714-MONOMER	286
JW1718-MONOMER	463
JW1725-MONOMER	116
JW1726-MONOMER	452
JW1727-MONOMER	106
JW1758-MONOMER	452
JW1780-MONOMER	393
JW1787-MONOMER	212
JW1806-MONOMER	323
JW1807-MONOMER	266
JW1808-MONOMER	286
JW1847-MONOMER	251
JW1848-MONOMER	261
JW1868-MONOMER	692
JW1869-MONOMER	382
JW1887-MONOMER	329
JW1888-MONOMER	504
JW1889-MONOMER	329
JW1895-MONOMER	403
JW1902-MONOMER	250
JW1903-MONOMER	222
JW1905-MONOMER	266
JW1934-MONOMER	261
JW1962-MONOMER	438
JW1965-MONOMER	547
JW1982-MONOMER	1039
JW2022-MONOMER	415
JW2031-MONOMER	492
JW2060-MONOMER	1040
JW2061-MONOMER	1025
JW2062-MONOMER	471
JW2076-MONOMER	451
JW2077-MONOMER	94
JW2078-MONOMER	106
JW2081-MONOMER	104
JW2085-MONOMER	425
JW2100-MONOMER	369
JW2116-MONOMER	243
JW2117-MONOMER	308
JW2118-MONOMER	385
JW2119-MONOMER	305
JW2135-MONOMER	336
JW2136-MONOMER	506
JW2137-MONOMER	332
JW2142-MONOMER	663
JW2143-MONOMER	489
JW2148-MONOMER	416
JW2151-MONOMER	416
JW2154-MONOMER	563
JW2156-MONOMER	376
JW2157-MONOMER	393
JW2165-MONOMER	604
JW2166-MONOMER	364
JW2167-MONOMER	341
JW2168-MONOMER	529
JW2187-MONOMER	245
JW2188-MONOMER	220
JW2217-MONOMER	440
JW2234-MONOMER	452
JW2240-MONOMER	429
